fecha_ini,file_input,file_ext,names,radar_id,range,volumen,estrategia,variable,config,state,file_output
2021-04-09 18:20:19,/data/OBS/radar/PER/240/2021040918201900dBZ.vol,vol,2021040918201900dBZ.vol,PER,240,IN,240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182019.PER_0240_IN.nc
2021-04-09 18:25:54,/data/OBS/radar/PER/120/2021040918255400dBZ.vol,vol,2021040918255400dBZ.vol,PER,120,IN,120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182554.PER_0120_IN.nc
2021-04-09 18:15:53,/data/OBS/radar/PER/120/2021040918155300dBZ.vol,vol,2021040918155300dBZ.vol,PER,120,IN,120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_181553.PER_0120_IN.nc
2021-04-09 18:23:51,/data/OBS/radar/RMA5/2021/04/09/18/2351/RMA5_0200_01_DBZH_20210409T182351Z.H5,H5,RMA5_0200_01_DBZH_20210409T182351Z.H5,RMA5,240,01,200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182351.RMA5_0200_01.nc
2021-04-09 18:22:33,/data/OBS/radar/RMA1/2021/04/09/18/2233/RMA1_0301_01_DBZH_20210409T182233Z.H5,H5,RMA1_0301_01_DBZH_20210409T182233Z.H5,RMA1,240,01,301,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182233.RMA1_0301_01.nc
2021-04-09 18:20:04,/data/OBS/radar/PAR/240/2021040918200400RhoHV.vol,vol,2021040918200400RhoHV.vol,PAR,240,IN,240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182004.PAR_0240_IN.nc
2021-04-09 18:20:04,/data/OBS/radar/PAR/240/2021040918200400dBZ.vol,vol,2021040918200400dBZ.vol,PAR,240,IN,240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182004.PAR_0240_IN.nc
2021-04-09 18:24:33,/data/OBS/radar/PAR/120/2021040918243300RhoHV.vol,vol,2021040918243300RhoHV.vol,PAR,120,IN,120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182433.PAR_0120_IN.nc
2021-04-09 18:24:33,/data/OBS/radar/PAR/120/2021040918243300dBZ.vol,vol,2021040918243300dBZ.vol,PAR,120,IN,120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182433.PAR_0120_IN.nc
2021-04-09 18:18:40,/data/OBS/radar/RMA6/2021/04/09/18/1840/RMA6_0200_01_DBZH_20210409T181840Z.H5,H5,RMA6_0200_01_DBZH_20210409T181840Z.H5,RMA6,240,01,200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_181840.RMA6_0200_01.nc
2021-04-09 18:17:59,/data/OBS/radar/RMA7/2021/04/09/18/1759/RMA7_0200_01_DBZH_20210409T181759Z.H5,H5,RMA7_0200_01_DBZH_20210409T181759Z.H5,RMA7,240,01,200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_181759.RMA7_0200_01.nc
2021-04-09 18:20:03,/data/OBS/radar/ANG/240/2021040918200300dBZ.vol,vol,2021040918200300dBZ.vol,ANG,240,IN,240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182003.ANG_0240_IN.nc
2021-04-09 18:20:03,/data/OBS/radar/ANG/240/2021040918200300RhoHV.vol,vol,2021040918200300RhoHV.vol,ANG,240,IN,240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182003.ANG_0240_IN.nc
2021-04-09 18:24:26,/data/OBS/radar/ANG/120/2021040918242600RhoHV.vol,vol,2021040918242600RhoHV.vol,ANG,120,IN,120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182426.ANG_0120_IN.nc
2021-04-09 18:24:26,/data/OBS/radar/ANG/120/2021040918242600dBZ.vol,vol,2021040918242600dBZ.vol,ANG,120,IN,120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182426.ANG_0120_IN.nc
